# WARP endpoints: 2868 working / 3584 probed
# sorted by in-tunnel loss, then in-tunnel ping
# ENDPOINT PING = ICMP ping to the endpoint address from this host, no tunnel involved
# TUN PING / LOSS = RTT and packet loss measured inside the tunnel, to 1.1.1.1
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING TUN PING  LOSS   SEEN AS    NODE   NODE LOCATION
162.159.195.238:500    25ms          25ms      0%     RU         LED    St. Petersburg, RU
162.159.195.227:2408   23ms          25ms      0%     RU         LED    St. Petersburg, RU
162.159.195.215:500    24ms          26ms      0%     RU         LED    St. Petersburg, RU
162.159.195.174:500    26ms          27ms      0%     RU         LED    St. Petersburg, RU
162.159.195.246:500    28ms          27ms      0%     RU         LED    St. Petersburg, RU
162.159.195.233:4500   25ms          27ms      0%     RU         LED    St. Petersburg, RU
162.159.195.60:500     34ms          27ms      0%     RU         LED    St. Petersburg, RU
162.159.195.243:4500   26ms          27ms      0%     RU         LED    St. Petersburg, RU
162.159.195.247:500    29ms          27ms      0%     RU         LED    St. Petersburg, RU
162.159.195.239:4500   31ms          27ms      0%     RU         LED    St. Petersburg, RU
162.159.195.253:500    31ms          27ms      0%     RU         LED    St. Petersburg, RU
162.159.195.234:500    26ms          28ms      0%     RU         LED    St. Petersburg, RU
162.159.195.36:2408    24ms          28ms      0%     RU         LED    St. Petersburg, RU
162.159.195.21:1701    38ms          29ms      0%     RU         LED    St. Petersburg, RU
162.159.195.155:500    27ms          29ms      0%     RU         LED    St. Petersburg, RU
162.159.195.228:4500   33ms          29ms      0%     RU         LED    St. Petersburg, RU
162.159.195.108:500    28ms          29ms      0%     RU         LED    St. Petersburg, RU
8.34.70.140:2408       29ms          31ms      0%     RU         HEL    Helsinki, FI
162.159.195.48:2408    29ms          31ms      0%     RU         LED    St. Petersburg, RU
8.34.70.39:2408        34ms          31ms      0%     RU         HEL    Helsinki, FI
8.34.146.11:2408       37ms          31ms      0%     RU         HEL    Helsinki, FI
162.159.192.146:2408   31ms          31ms      0%     RU         HEL    Helsinki, FI
8.34.70.149:2408       36ms          31ms      0%     RU         HEL    Helsinki, FI
8.6.112.206:2408       36ms          31ms      0%     RU         HEL    Helsinki, FI
162.159.192.155:2408   37ms          32ms      0%     RU         HEL    Helsinki, FI
162.159.195.254:2408   27ms          32ms      0%     RU         LED    St. Petersburg, RU
8.6.112.87:2408        39ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.70.139:2408       31ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.146.25:1701       36ms          32ms      0%     RU         HEL    Helsinki, FI
8.35.211.7:2408        32ms          32ms      0%     RU         HEL    Helsinki, FI
162.159.195.98:500     34ms          32ms      0%     RU         LED    St. Petersburg, RU
8.34.146.55:2408       38ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.70.168:2408       30ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.70.46:2408        29ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.70.31:2408        37ms          32ms      0%     RU         HEL    Helsinki, FI
162.159.192.188:2408   34ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.70.150:2408       32ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.70.42:2408        30ms          32ms      0%     RU         HEL    Helsinki, FI
8.35.211.206:2408      32ms          32ms      0%     RU         HEL    Helsinki, FI
162.159.192.170:2408   31ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.146.24:2408       34ms          32ms      0%     RU         HEL    Helsinki, FI
8.39.204.72:2408       41ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.146.186:2408      33ms          32ms      0%     RU         HEL    Helsinki, FI
8.35.211.65:2408       30ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.70.219:2408       35ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.146.19:2408       31ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.146.248:2408      34ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.146.188:2408      32ms          32ms      0%     RU         HEL    Helsinki, FI
8.35.211.26:500        36ms          32ms      0%     RU         HEL    Helsinki, FI
8.34.146.176:2408      34ms          33ms      0%     RU         HEL    Helsinki, FI
8.35.211.176:2408      28ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.29:2408       36ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.51:2408        118ms         33ms      0%     RU         HEL    Helsinki, FI
8.34.146.31:2408       30ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.92:2408       33ms          33ms      0%     RU         HEL    Helsinki, FI
8.6.112.172:2408       33ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.40:2408        33ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.80:2408    34ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.160:2408       31ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.37:2408        36ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.182:2408      33ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.46:2408       32ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.171:2408   33ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.167:2408      30ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.94:2408       41ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.214.71:2408       31ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.143:2408   33ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.217:2408      28ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.162:2408       36ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.214.179:1701      46ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.33:2408    31ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.199:2408   41ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.187:2408      33ms          33ms      0%     RU         HEL    Helsinki, FI
8.6.112.137:500        35ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.125:2408      35ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.247:2408       28ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.182:2408   56ms          33ms      0%     RU         HEL    Helsinki, FI
8.35.211.83:2408       31ms          33ms      0%     RU         HEL    Helsinki, FI
8.35.211.184:2408      30ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.195:2408      39ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.214.51:2408       45ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.152:2408   31ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.43:2408       29ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.104:2408      34ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.171:2408       34ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.24:2408        42ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.236:2408      33ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.163:2408   35ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.62:2408       35ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.12:2408       34ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.27:2408        33ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.175:2408      31ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.16:2408       31ms          33ms      0%     RU         HEL    Helsinki, FI
8.35.211.127:2408      30ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.214.143:2408      47ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.180:2408      39ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.3:2408        30ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.48:500        33ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.37:2408       30ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.232:2408      37ms          33ms      0%     RU         HEL    Helsinki, FI
8.6.112.179:2408       35ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.26:2408       33ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.231:2408      36ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.205:2408      37ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.219:2408      35ms          33ms      0%     RU         HEL    Helsinki, FI
8.47.69.129:2408       30ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.166:2408      39ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.239:500        35ms          33ms      0%     RU         HEL    Helsinki, FI
8.47.69.112:2408       34ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.203:2408      34ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.213:2408   33ms          33ms      0%     RU         HEL    Helsinki, FI
